# TITLE= "run52_thmin45_thmax85_rv1e19_f0p01_r1.lev2_emiss.dat"
# Coord_Sys CYLIND
x z var inwind i j
4.6118e+16 3.8805e+16 nan -1 1 32
4.6118e+16 4.375e+16 nan -1 1 33
4.6118e+16 4.9325e+16 nan -1 1 34
4.6118e+16 5.561e+16 nan -1 1 35
4.6118e+16 6.2697e+16 nan -1 1 36
4.6118e+16 7.0686e+16 nan -1 1 37
4.6118e+16 7.9694e+16 nan -1 1 38
4.6118e+16 8.985e+16 nan -1 1 39
4.6118e+16 1.013e+17 nan -1 1 40
4.6118e+16 1.1421e+17 nan -1 1 41
4.6118e+16 1.2876e+17 nan -1 1 42
4.6118e+16 1.4517e+17 nan -1 1 43
4.6118e+16 1.6367e+17 nan -1 1 44
4.6118e+16 1.8453e+17 nan -1 1 45
4.6118e+16 2.0804e+17 nan -1 1 46
4.6118e+16 2.3455e+17 nan -1 1 47
4.6118e+16 2.6444e+17 nan -1 1 48
4.6118e+16 2.9814e+17 nan -1 1 49
4.6118e+16 3.3613e+17 nan -1 1 50
4.6118e+16 3.7896e+17 nan -1 1 51
4.6118e+16 4.2725e+17 nan -1 1 52
4.6118e+16 4.817e+17 nan -1 1 53
4.6118e+16 5.4308e+17 nan -1 1 54
4.6118e+16 6.1229e+17 nan -1 1 55
4.6118e+16 6.9031e+17 nan -1 1 56
4.6118e+16 7.7828e+17 nan -1 1 57
4.6118e+16 8.7746e+17 nan -1 1 58
4.6118e+16 9.8927e+17 nan -1 1 59
4.6118e+16 1.1153e+18 nan -1 1 60
4.6118e+16 1.2575e+18 nan -1 1 61
4.6118e+16 1.4177e+18 nan -1 1 62
4.6118e+16 1.5984e+18 nan -1 1 63
4.6118e+16 1.802e+18 nan -1 1 64
4.6118e+16 2.0317e+18 nan -1 1 65
4.6118e+16 2.2906e+18 nan -1 1 66
4.6118e+16 2.5825e+18 nan -1 1 67
4.6118e+16 2.9116e+18 nan -1 1 68
4.6118e+16 3.2826e+18 nan -1 1 69
4.6118e+16 3.7009e+18 nan -1 1 70
4.6118e+16 4.1725e+18 nan -1 1 71
4.6118e+16 4.7042e+18 nan -1 1 72
4.6118e+16 5.3037e+18 nan -1 1 73
4.6118e+16 5.9795e+18 nan -1 1 74
4.6118e+16 6.7415e+18 nan -1 1 75
4.6118e+16 7.6006e+18 nan -1 1 76
4.6118e+16 8.5691e+18 nan -1 1 77
4.6118e+16 9.6611e+18 nan -1 1 78
4.6118e+16 1.0892e+19 nan -1 1 79
4.6118e+16 1.228e+19 nan -1 1 80
4.6118e+16 1.3845e+19 nan -1 1 81
4.6118e+16 1.5609e+19 nan -1 1 82
4.6118e+16 1.7598e+19 nan -1 1 83
4.6118e+16 1.9841e+19 nan -1 1 84
4.6118e+16 2.2369e+19 nan -1 1 85
4.6118e+16 2.522e+19 nan -1 1 86
4.6118e+16 2.8434e+19 nan -1 1 87
4.6118e+16 3.2057e+19 nan -1 1 88
4.6118e+16 3.6142e+19 nan -1 1 89
4.6118e+16 4.0748e+19 nan -1 1 90
4.6118e+16 4.594e+19 nan -1 1 91
4.6118e+16 5.1795e+19 nan -1 1 92
4.6118e+16 5.8395e+19 nan -1 1 93
4.6118e+16 6.5836e+19 nan -1 1 94
4.6118e+16 7.4226e+19 nan -1 1 95
4.6118e+16 8.3685e+19 nan -1 1 96
4.6118e+16 9.4349e+19 nan -1 1 97
4.6118e+16 1.0637e+20 nan -1 1 98
4.6118e+16 1.1993e+20 nan -1 1 99
4.994e+16 442830000000000.0 0.0 0 2 0
4.994e+16 942100000000000.0 0.0 0 2 1
4.994e+16 1062200000000000.0 0.0 0 2 2
4.994e+16 1197500000000000.0 0.0 0 2 3
4.994e+16 1350100000000000.0 0.0 0 2 4
4.994e+16 1522100000000000.0 0.0 0 2 5
4.994e+16 1716100000000000.0 0.0 0 2 6
4.994e+16 1934800000000000.0 0.0 0 2 7
4.994e+16 2181400000000000.0 0.0 0 2 8
4.994e+16 2459300000000000.0 0.0 0 2 9
4.994e+16 2772700000000000.0 0.0 0 2 10
4.994e+16 3126000000000000.0 0.0 0 2 11
4.994e+16 3524400000000000.0 0.0 1 2 12
4.994e+16 3973500000000000.0 0.0 1 2 13
4.994e+16 4479900000000000.0 0.0 1 2 14
4.994e+16 5050800000000000.0 0.0 1 2 15
4.994e+16 5694400000000000.0 0.0 1 2 16
4.994e+16 6420000000000000.0 0.0 1 2 17
4.994e+16 7238100000000000.0 0.0 1 2 18
4.994e+16 8160500000000000.0 nan -1 2 19
4.994e+16 9200400000000000.0 nan -1 2 20
4.994e+16 1.0373e+16 nan -1 2 21
4.994e+16 1.1695e+16 nan -1 2 22
4.994e+16 1.3185e+16 nan -1 2 23
4.994e+16 1.4865e+16 nan -1 2 24
4.994e+16 1.6759e+16 nan -1 2 25
4.994e+16 1.8895e+16 nan -1 2 26
4.994e+16 2.1303e+16 nan -1 2 27
4.994e+16 2.4017e+16 nan -1 2 28
4.994e+16 2.7078e+16 nan -1 2 29
4.994e+16 3.0529e+16 nan -1 2 30
4.994e+16 3.4419e+16 nan -1 2 31
4.994e+16 3.8805e+16 nan -1 2 32
4.994e+16 4.375e+16 nan -1 2 33
4.994e+16 4.9325e+16 nan -1 2 34
4.994e+16 5.561e+16 nan -1 2 35
4.994e+16 6.2697e+16 nan -1 2 36
4.994e+16 7.0686e+16 nan -1 2 37
