# TITLE= "run2_thmin20_thmax35_rv1e19_f1_r5.ioncH1.dat"
# Coord_Sys CYLIND
x z var inwind i j
2.2862e+17 2181400000000000.0 10018300.00003005 1 1 8
2.2862e+17 2459300000000000.0 9435320.000026112 1 1 9
2.2862e+17 2772700000000000.0 8885520.000022206 1 1 10
2.2862e+17 3126000000000000.0 8366970.000018644 1 1 11
2.2862e+17 3524400000000000.0 7877820.000016072 1 1 12
2.2862e+17 3973500000000000.0 7416340.0000145715 1 1 13
2.2862e+17 4479900000000000.0 6980880.0000126595 1 1 14
2.2862e+17 5050800000000000.0 6569890.000010723 1 1 15
2.2862e+17 5694400000000000.0 6181910.000009525 1 1 16
2.2862e+17 6420000000000000.0 5815560.000008261 1 1 17
2.2862e+17 7238100000000000.0 5469540.000007371 1 1 18
2.2862e+17 8160500000000000.0 5142620.000006322 1 1 19
2.2862e+17 9200400000000000.0 4833630.000005752 1 1 20
2.2862e+17 1.0373e+16 4541480.0000050245 1 1 21
2.2862e+17 1.1695e+16 4265150.0000043595 1 1 22
2.2862e+17 1.3185e+16 4003660.0000037896 1 1 23
2.2862e+17 1.4865e+16 3756100.000003396 1 1 24
2.2862e+17 1.6759e+16 3521600.0000029295 1 1 25
2.2862e+17 1.8895e+16 3299350.0000025835 1 1 26
2.2862e+17 2.1303e+16 3060470.000002239 1 1 27
2.2862e+17 2.4017e+16 2859400.000001919 1 1 28
2.2862e+17 2.7078e+16 2668460.000001692 1 1 29
2.2862e+17 3.0529e+16 2487050.00000146 1 1 30
2.2862e+17 3.4419e+16 2314610.0000012866 1 1 31
2.2862e+17 3.8805e+16 2150630.0000010994 1 1 32
2.2862e+17 4.375e+16 0.0 -1 1 33
2.2862e+17 4.9325e+16 0.0 -1 1 34
2.2862e+17 5.561e+16 0.0 -1 1 35
2.2862e+17 6.2697e+16 0.0 -1 1 36
2.2862e+17 7.0686e+16 0.0 -1 1 37
2.2862e+17 7.9694e+16 0.0 -1 1 38
2.2862e+17 8.985e+16 0.0 -1 1 39
2.2862e+17 1.013e+17 0.0 -1 1 40
2.2862e+17 1.1421e+17 0.0 -1 1 41
2.2862e+17 1.2876e+17 0.0 -1 1 42
2.2862e+17 1.4517e+17 0.0 -1 1 43
2.2862e+17 1.6367e+17 0.0 -1 1 44
2.2862e+17 1.8453e+17 0.0 -1 1 45
2.2862e+17 2.0804e+17 0.0 -1 1 46
2.2862e+17 2.3455e+17 0.0 -1 1 47
2.2862e+17 2.6444e+17 0.0 -1 1 48
2.2862e+17 2.9814e+17 0.0 -1 1 49
2.2862e+17 3.3613e+17 0.0 -1 1 50
2.2862e+17 3.7896e+17 0.0 -1 1 51
2.2862e+17 4.2725e+17 0.0 -1 1 52
2.2862e+17 4.817e+17 0.0 -1 1 53
2.2862e+17 5.4308e+17 0.0 -1 1 54
2.2862e+17 6.1229e+17 0.0 -1 1 55
2.2862e+17 6.9031e+17 0.0 -1 1 56
2.2862e+17 7.7828e+17 0.0 -1 1 57
2.2862e+17 8.7746e+17 0.0 -1 1 58
2.2862e+17 9.8927e+17 0.0 -1 1 59
2.2862e+17 1.1153e+18 0.0 -1 1 60
2.2862e+17 1.2575e+18 0.0 -1 1 61
2.2862e+17 1.4177e+18 0.0 -1 1 62
2.2862e+17 1.5984e+18 0.0 -1 1 63
2.2862e+17 1.802e+18 0.0 -1 1 64
2.2862e+17 2.0317e+18 0.0 -1 1 65
2.2862e+17 2.2906e+18 0.0 -1 1 66
2.2862e+17 2.5825e+18 0.0 -1 1 67
2.2862e+17 2.9116e+18 0.0 -1 1 68
2.2862e+17 3.2826e+18 0.0 -1 1 69
2.2862e+17 3.7009e+18 0.0 -1 1 70
2.2862e+17 4.1725e+18 0.0 -1 1 71
2.2862e+17 4.7042e+18 0.0 -1 1 72
2.2862e+17 5.3037e+18 0.0 -1 1 73
2.2862e+17 5.9795e+18 0.0 -1 1 74
2.2862e+17 6.7415e+18 0.0 -1 1 75
2.2862e+17 7.6006e+18 0.0 -1 1 76
2.2862e+17 8.5691e+18 0.0 -1 1 77
2.2862e+17 9.6611e+18 0.0 -1 1 78
2.2862e+17 1.0892e+19 0.0 -1 1 79
2.2862e+17 1.228e+19 0.0 -1 1 80
2.2862e+17 1.3845e+19 0.0 -1 1 81
2.2862e+17 1.5609e+19 0.0 -1 1 82
2.2862e+17 1.7598e+19 0.0 -1 1 83
2.2862e+17 1.9841e+19 0.0 -1 1 84
2.2862e+17 2.2369e+19 0.0 -1 1 85
2.2862e+17 2.522e+19 0.0 -1 1 86
2.2862e+17 2.8434e+19 0.0 -1 1 87
2.2862e+17 3.2057e+19 0.0 -1 1 88
2.2862e+17 3.6142e+19 0.0 -1 1 89
2.2862e+17 4.0748e+19 0.0 -1 1 90
